제품코드,제품명,카테고리,하위카테고리,정가,원가율
P001,55형 OLED TV,가전,영상가전,2190000,0.78
P002,무선청소기,가전,생활가전,689000,0.72
P003,공기청정기,가전,생활가전,459000,0.7
P004,전자레인지,가전,주방가전,189000,0.74
P005,에어프라이어,가전,주방가전,149000,0.68
P006,커피머신,가전,주방가전,329000,0.66
P007,무선이어폰,가전,음향기기,219000,0.64
P008,블루투스 스피커,가전,음향기기,129000,0.62
P011,경량 패딩,패션,아우터,129000,0.45
P012,트렌치코트,패션,아우터,189000,0.42
P013,니트 스웨터,패션,상의,59000,0.4
P014,옥스퍼드 셔츠,패션,상의,45000,0.38
P015,와이드 청바지,패션,하의,69000,0.4
P016,러닝화,패션,신발,119000,0.5
P017,가죽 백팩,패션,잡화,89000,0.44
P018,린넨 원피스,패션,상의,79000,0.41
P021,한우 선물세트,식품,신선식품,159000,0.7
P022,제주 감귤 5kg,식품,신선식품,29000,0.62
P023,유기농 쌀 10kg,식품,가공식품,42000,0.66
P024,견과류 믹스,식품,가공식품,19900,0.55
P025,김 선물세트,식품,가공식품,24900,0.58
P026,콜드브루 커피,식품,음료,12900,0.48
P027,그릭요거트,식품,신선식품,8900,0.52
P028,홍삼정,식품,건강식품,89000,0.5
P031,극세사 이불,생활용품,침구,79000,0.48
P032,호텔 수건 세트,생활용품,욕실,29900,0.45
P033,세탁세제,생활용품,욕실,18900,0.55
P034,주방칼 세트,생활용품,주방,69000,0.46
P035,수납박스,생활용품,인테리어,15900,0.42
P036,디퓨저,생활용품,인테리어,32000,0.35
P037,보온 텀블러,생활용품,주방,27000,0.4
P038,캠핑 의자,생활용품,레저,49000,0.47
P041,수분크림,뷰티,스킨케어,38000,0.3
P042,선크림,뷰티,스킨케어,22000,0.32
P043,비타민C 세럼,뷰티,스킨케어,45000,0.28
P044,쿠션 파운데이션,뷰티,메이크업,42000,0.33
P045,립스틱,뷰티,메이크업,29000,0.3
P046,탈모 샴푸,뷰티,헤어/바디,16900,0.36
P047,마스크팩 10매,뷰티,스킨케어,15000,0.34
P048,오드퍼퓸 50ml,뷰티,향수,98000,0.38
